time,solver,failed,BatteryUnit.battery1,BatteryUnit.battery2,BatteryUnit.battery3,BatteryUnit.battery4,BatteryUnit.battery5,RatioTapChanger.reg1a,RatioTapChanger.reg2a,RatioTapChanger.reg3a,RatioTapChanger.reg3c,RatioTapChanger.reg4a,RatioTapChanger.reg4c
60,0.08668985399708617,False,-66148.26,1.9375757e-11,-57230.742,150000.0,-154089.47,3,7,7,5,4,-1
61,0.08303808700293303,False,125000.0,0.0,0.0,63346.3,250000.0,3,4,8,6,6,-4
62,0.07970722499885596,False,125000.0,0.0,-4.408918e-26,0.004788550275,173441.85,3,6,3,5,3,0
63,0.07921857900510076,False,0.0,0.0,0.0,0.0,250000.0,3,3,0,5,7,-2
64,0.08686331599892583,False,-125000.0,-3.7131253e-11,61878.805,-119684.02,-102255.66,3,1,4,6,3,-1
65,0.09230501699494198,False,-9995.3551,0.0,30663.49,150000.0,152732.97,3,1,7,1,6,3
66,0.07415785099146888,False,0.0,1.101453e-24,0.0,-3557.716,172489.895,3,4,1,-1,3,-3
67,0.0897206680092495,False,-3.6109864e-11,1.453181775e-11,-61103.273,25287.793,-103786.24,4,4,6,-7,3,-6
68,0.06648747999861371,True,1.4443946e-10,0.0,1.9061761e-11,0.000142397,-103786.24,3,4,6,-7,5,-4
69,0.08528959199611563,False,0.0,0.0,21791.205,-95932.186,250000.0,4,2,4,-4,6,-5
70,0.07819696600199677,False,125000.0,1.856562675e-11,99961.6,136445.04499999998,45175.243,5,0,0,2,2,-10
71,0.09863228299946059,False,0.0,0.0,-62503.145,-150000.0,56.900894,5,2,1,7,3,-6
72,0.0786672629910754,False,1.6249439e-10,1.453181775e-11,-8.8954886e-11,-19757.219,1.227318725e-10,4,4,5,9,6,0
73,0.08364052200340666,False,-125000.0,0.0,51704.8075,37499.999999999985,1.3290261e-10,4,8,4,3,7,-3
74,0.08040303600137122,False,31250.000000000015,9.6878785e-12,25511.645335,-35421.29699999999,-40654.163,5,6,-1,-3,6,-3
75,0.08681898898794316,False,31250.0,0.0,100000.0,0.0,57822.77,6,1,1,-5,3,-1
76,0.08807463900302537,False,9.0274661e-11,1.392422e-11,44501.762,150000.0,-178317.87,6,7,7,-11,6,-3
77,0.08472637900558766,False,49082.6,2.320703325e-11,85209.5,-23299.0,121968.0,6,5,9,-9,6,-2
78,0.07659377901291009,False,125000.0,-66201.152,0.0,-72947.325,-154586.235,5,4,6,-3,4,-6
79,0.09292603901121765,False,-18252.7,0.0,0.0,-150000.0,0.0,4,10,10,-5,6,-1
80,0.07245337599306367,False,0.0,16710.8,-100000.0,-150000.0,-73735.8,5,10,10,-7,6,0
81,0.08050429800641723,False,-125000.0,-120498.0,-90039.1,-150000.0,0.0,5,4,10,-9,6,1
82,0.08342086400080007,False,-26744.8,-98665.75,-57873.8,-119739.0,-250000.0,4,-1,11,-10,6,1
83,0.08135601998947095,False,-0.0153689,-100000.0,0.0,-75000.0,-250000.0,4,2,7,-8,8,0
84,0.09062708800774999,False,0.0,-200000.0,0.0,-150000.0,-250000.0,4,6,9,-6,8,2
85,0.07396381399303209,False,0.0,-200000.0,0.0,-150000.0,-250000.0,7,3,3,-11,3,1
86,0.08385192800778896,False,0.0,-200000.0,0.0,-59564.0,-250000.0,6,3,3,-10,7,1
87,0.08359749199007638,False,0.0,-200000.0,0.0,0.0,-189964.0,6,1,1,-11,7,-1
88,0.09224456999800168,False,0.0,-200000.0,0.0,0.0,0.0,6,2,6,-10,5,4
89,0.07047199900262058,False,0.0,-35064.2,0.0,0.0,0.0,7,4,6,-11,4,3
90,0.07900129799963906,False,0.0,0.0,-8.2998797e-11,0.0,0.0,7,-2,5,-11,8,3
91,0.0850768749951385,False,0.0,0.0,0.0,0.0,0.0,7,0,6,-12,8,1
92,0.08628163899993524,False,0.0,0.0,0.0,0.0,0.0,7,6,6,-12,8,1
93,0.08265530000790022,False,0.0,0.0,0.0,0.0,0.0,6,0,5,-11,9,3
94,0.09018695099803153,False,0.0,0.0,0.0,0.0,0.0,6,3,7,-12,9,2
95,0.07757956000568811,False,0.0,0.0,0.0,0.0,0.0,6,5,9,-11,9,3
96,0.07793522099382244,False,0.0,0.0,-5.5332532e-11,0.0,0.0,7,-1,5,-11,5,1
