time,profit,losses,emissions,battery charging
35,[64.66876612158673, 8.089967865313236, 463.9494678724846, 8.249999791285644]
36,[65.97444876546693, 7.808745110382708, 266.45122429243526, 8.24999815447525]
37,[67.5583204502906, 7.870233950721486, 73.69673921670284, 8.249999999272672]
38,[65.35321723587532, 8.959031699741214, -24.59307291998269, 116.14707401497029]
39,[60.722101515153476, 10.553737443716672, -121.82608511284494, 241.87850550934405]
40,[63.042656485769044, 10.945567280157835, -238.65421289842834, 285.97345268260233]
41,[54.36085570421345, 13.294633506756403, -65.01475913710307, 615.9220002681569]
42,[59.88360652294706, 14.477829948211385, -395.9215226949703, 489.0000000753992]
43,[57.581751950661285, 16.85754530939704, -401.6944100427479, 640.2064348180195]
44,[68.62243817346283, 23.570459035994034, -1013.4533987232622, 281.64096001453584]
45,[64.9247999581028, 24.095299319835764, -1086.398666690571, 392.15573482130026]
46,[59.0192400340131, 25.183868832540206, -1033.8113754448436, 590.960773274481]
47,[67.0084812223154, 34.544271908200294, -1490.329433899549, 338.6686256757958]
48,[63.91689829569938, 35.01067808311183, -1552.9953049773512, 430.6077193580011]
49,[62.33240697037424, 38.816749798795335, -1706.2164893050817, 446.52936503238504]
50,[61.359414837296825, 46.671292629653706, -1850.397285477839, 439.1865163764364]
51,[51.27388990833942, 42.66342453158603, -1686.5121553402819, 719.0615472734185]
52,[49.2914756725019, 44.43902588198522, -1719.2187417989328, 779.7987233420803]
53,[59.60262776730182, 57.614283512085414, -2258.9500895875076, 407.25228417944254]
54,[55.40044235040471, 57.50904221088408, -2172.5674892642637, 552.0648436835763]
55,[66.01161698522341, 73.76702151749566, -2755.9886247291174, 125.9372005880752]
56,[69.49833849125146, 76.9066948156783, -2860.084729657189, 50.98289384076284]
57,[70.58266531563761, 76.45469195320055, -2833.869292884764, 84.5249104154411]
58,[78.68863088851437, 93.16330975217235, -3239.2220639144825, -236.39574297170014]
59,[79.96567567032345, 94.29332182369, -3210.4863652578115, -230.0421622139993]
60,[73.73397934442409, 72.94923436209547, -2740.4783762949423, 118.02945788371736]
61,[78.30979039272187, 72.50489892648747, -2763.419577929703, 46.70482043346537]
62,[78.77189047248395, 68.66288688447513, -2635.8573975704826, 95.8175636484845]
63,[69.10379754973913, 57.72290346991454, -2107.2174141144, 485.2153740295146]
64,[77.0967789322107, 59.00143336555048, -2239.8784568020246, 283.5860470273601]
65,[96.12826529481787, 77.51410788998899, -2806.874094399958, -311.4120420254096]
66,[87.77299015725433, 55.24230783073467, -2288.6604479062157, 37.48134750927146]
67,[89.41557711132285, 48.67608396562025, -2078.9426033674295, 78.40401266086796]
68,[86.06128344913245, 43.25028847459427, -1734.3295302376534, 234.90799935492143]
69,[100.75140335560982, 52.01451450194351, -2126.660086430312, -235.56863317045443]
70,[104.54858034199893, 48.493180104227505, -2061.4383782182103, -326.1594840835293]
71,[87.75288787478263, 29.3125854656028, -1069.9325424697915, 352.36021976407244]
72,[85.30846895979722, 25.857598734269573, -732.9135530451111, 478.500016761829]
73,[88.4469958695092, 24.950931805600977, -705.3828511251007, 355.4873578379219]
74,[109.0840700173149, 25.414542918371627, -1276.5077523845152, -316.10851413821615]
75,[88.16815479671595, 18.570173019812852, -117.58867262402005, 462.3712030861838]
76,[88.70100105655324, 15.889427568549488, 32.916115512954526, 418.64900349661315]
77,[99.93959078813613, 12.177800483170008, -79.4895508518552, 107.2500000143716]
78,[107.65705151433747, 11.973195895309566, -52.1861468123726, -93.08479527790058]
79,[114.76997411552918, 14.524784296158122, -125.2096543888276, -355.68750544725634]
80,[113.74501489542179, 9.993227365092805, -143.45528272122888, -499.07653624572924]
