time,BatteryUnit.battery1,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery2,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery3,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery4,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery5,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg1a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg2a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg3a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg3c,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg4a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg4c,decarbonization-app,profit_cvr-app,resilience-app
19,82764.35,-43942.6,125000.0,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,81135.416,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,126164.23,250000.0,6,7,0,-1,4,-12,-5,4,8,-12,6,8,-12,-12,1,1,9,4,-1,15,1,-11,-5,-3
20,125000.0,-102133.0,3.7584378e-26,125000.0,0.0,0.0,166207.1,200000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,250000.0,6,7,-4,0,4,-13,4,4,6,-12,6,4,-12,-12,1,1,9,3,6,10,7,-11,-1,10
21,125000.0,-125000.0,3.1320315e-27,125000.0,0.0,0.0,157677.39,200000.0,0.0,0.0,100000.0,100000.0,0.0,5964.95,0.0,150000.0,0.0,0.0,0.0,250000.0,6,7,-3,-1,4,-13,2,4,4,-12,0,4,-12,-13,-1,1,9,3,-1,15,5,-11,-1,5
22,125000.0,-125000.0,125000.0,125000.0,0.0,0.0,93180.478,200000.0,0.0,0.0,41802.341,100000.0,1153.6805,2813.5,1153.6805,150000.0,-2.2150435e-11,0.0,-2.2150435e-11,250000.0,6,7,-4,-1,8,-13,8,4,7,-12,7,4,-12,-13,2,1,9,3,1,15,8,-11,2,12
23,0.0,-125000.0,-7393.4393,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,-811.132,-811.132,150000.0,150000.0,0.0,0.0,13966.025,250000.0,6,7,-4,0,7,-13,3,7,3,-12,1,1,-12,-13,-2,6,8,3,1,14,6,-11,-2,2
24,-62500.0,-125000.0,-125000.0,125000.0,0.0,0.0,154895.93,200000.0,0.0,0.0,47227.117,100000.0,-0.000281736,-0.000281736,29924.083,150000.0,0.0,0.0,0.0,250000.0,6,7,-5,-2,10,-13,2,13,9,-13,1,15,-13,-13,0,12,8,3,5,14,2,-11,1,2
25,-62500.0,-125000.0,125000.0,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,6272.9698,150000.0,0.0,0.0,250000.0,250000.0,6,7,7,-1,5,-13,-5,5,4,-13,-1,4,-13,-13,0,1,8,3,-1,15,3,-11,-9,3
26,0.0,-125000.0,125000.0,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,250000.0,250000.0,6,6,0,-2,4,-12,-1,4,4,-12,-1,4,-12,-12,0,1,8,4,1,15,3,-11,0,3
27,0.0,-125000.0,125000.0,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,111015.06,250000.0,6,7,-3,2,4,-13,-1,4,4,-13,0,4,-13,-13,0,1,8,3,1,10,3,-12,0,3
28,-62500.0,-125000.0,125000.0,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,6272.9698,150000.0,0.0,0.0,250000.0,250000.0,6,7,7,-1,5,-13,-5,5,4,-13,-1,4,-13,-13,0,1,8,3,-1,15,3,-11,-9,3
29,0.0,-125000.0,125000.0,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,111015.06,250000.0,6,7,-3,2,4,-13,-1,4,4,-13,0,4,-13,-13,0,1,8,3,1,10,3,-12,0,3
30,0.0,-125000.0,125000.0,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,250000.0,250000.0,6,6,0,-2,4,-12,-1,4,4,-12,-1,4,-11,-12,0,1,8,4,1,15,3,-11,0,3
31,0.0,-125000.0,125000.0,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,250000.0,250000.0,6,7,2,-2,4,-13,-1,4,4,-13,-1,4,-13,-13,0,1,8,3,1,15,3,-12,0,3
32,0.0,-125000.0,-6.7705996e-11,125000.0,49999.99999999994,0.0,-7.7503028e-11,200000.0,0.0,0.0,74967.579,100000.0,0.0,0.0,130899.77,150000.0,0.0,0.0,0.0,250000.0,6,6,-5,2,10,-12,13,4,10,-12,11,4,-11,-12,0,1,8,4,13,10,3,-11,-1,3
33,0.0,-125000.0,125000.0,125000.0,141211.475,-35154.1,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,175613.29,250000.0,6,6,-2,2,8,-12,-1,-7,8,-12,0,1,-12,-12,0,4,6,3,0,-3,2,-11,-2,2
34,-125000.0,-125000.0,125000.0,125000.0,32781.5,-134437.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,194035.11,250000.0,6,7,-3,3,2,-13,-1,-7,2,-14,0,1,-12,-12,-2,3,7,-1,1,9,2,-12,0,2
35,-53288.6,-53288.6,125000.0,125000.0,-68113.75,-157485.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,118957.17,250000.0,5,7,-4,-3,8,-13,-1,13,8,-14,0,15,-12,-12,0,2,7,2,1,14,2,-12,0,2
36,-0.0297927,-0.0297927,125000.0,125000.0,-17028.774999999994,-89371.7,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,242753.83,250000.0,5,7,6,0,6,-13,-1,6,2,-13,0,1,-12,-12,0,3,8,2,-8,9,2,-12,-12,2
37,0.0,0.0,125000.0,125000.0,-4257.25,-72343.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,9554.32,9554.32,150000.0,150000.0,51523.85,54834.0,51523.85,250000.0,6,6,6,3,0,-12,0,-2,4,-12,-6,4,-8,-11,-8,2,4,3,-10,4,-3,-12,-13,-3
38,0.0,0.0,0.0,125000.0,17384.6,17384.6,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,148688.0,0.0,150000.0,14037.4,14037.4,250000.0,250000.0,7,7,-4,7,1,-13,0,1,2,-13,0,2,-11,-13,0,-7,2,2,1,0,-5,-14,0,-13
39,0.0,125000.0,0.0,125000.0,139768.0,139768.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,0.0,117183.0,0.0,150000.0,0.0,0.0,250000.0,250000.0,7,7,0,6,0,-13,0,-8,2,-12,0,2,-13,-13,0,-8,2,2,1,1,0,-15,0,-12
40,102159.0,102159.0,125000.0,125000.0,174386.0,174386.0,200000.0,200000.0,25000.0,0.0,100000.0,100000.0,0.0,150000.0,0.0,150000.0,100710.0,100710.0,250000.0,250000.0,6,6,1,0,0,-12,0,-4,5,-11,0,5,-13,-13,0,-3,5,4,1,5,0,-14,0,-7
41,0.0,125000.0,0.0,125000.0,200000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0,100000.0,0.0,50300.8,0.0,150000.0,250000.0,235600.0,0.0,250000.0,5,6,-1,4,4,-12,0,4,1,-10,-1,1,-12,-12,0,-2,7,4,1,7,-1,-12,-1,-5
