time,solver,failed,BatteryUnit.battery1,BatteryUnit.battery2,BatteryUnit.battery3,BatteryUnit.battery4,BatteryUnit.battery5,RatioTapChanger.reg1a,RatioTapChanger.reg2a,RatioTapChanger.reg3a,RatioTapChanger.reg3c,RatioTapChanger.reg4a,RatioTapChanger.reg4c
1,0.7969577009935165,False,-125000.0,-200000.0,-100000.0,-150000.0,-250000.0,5,2,5,0,5,1
2,2.0100658890005434,False,-125000.0,-200000.0,-100000.0,-150000.0,-250000.0,5,8,7,6,7,7
3,0.05489684200438205,False,-125000.0,-2480.0,-1240.0,-150000.0,-250000.0,7,5,3,4,3,5
4,1.738444115006132,False,-125000.0,0.0,0.0,-150000.0,-130425.0,7,3,3,-2,6,1
5,1.6219147060037358,False,-125000.0,0.0,0.0,-150000.0,0.0,6,2,1,4,8,6
6,0.986195700999815,False,-45800.0,0.0,0.0,-150000.0,0.0,6,1,2,8,8,2
7,1.360532571998192,False,0.0,0.0,0.0,-22350.0,0.0,6,4,4,2,9,8
8,3.242500034990371,False,0.0,0.0,0.0,0.0,0.0,6,9,6,0,9,2
9,0.7402541150077013,False,0.0,0.0,0.0,0.0,0.0,6,3,6,2,9,3
10,1.1980105609982274,False,0.0,0.0,0.0,0.0,0.0,6,1,5,2,9,-1
11,4.792625868998584,False,0.0,0.0,0.0,0.0,0.0,6,7,7,4,9,3
12,0.6406198900076561,False,0.0,0.0,0.0,0.0,0.0,6,9,8,2,9,1
13,1.277614695005468,False,0.0,0.0,0.0,0.0,0.0,6,7,5,4,9,7
14,1.733951939997496,False,0.0,0.0,0.0,0.0,0.0,6,9,5,2,9,1
15,0.6446903470059624,False,0.0,0.0,0.0,0.0,0.0,6,3,5,2,9,-1
16,1.2693752859922824,False,0.0,0.0,0.0,0.0,0.0,6,7,5,4,9,5
17,0.4011455889994977,False,0.0,0.0,0.0,37500.0,0.0,6,5,5,6,9,5
18,0.8471319069940364,False,0.0,0.0,0.0,37500.0,0.0,6,-1,6,4,9,3
19,1.2829575890064007,False,0.0,0.0,0.0,0.0,0.0,6,-2,5,2,8,2
20,1.8529386619920842,False,0.0,0.0,0.0,0.0,0.0,6,0,5,2,8,1
21,1.987520819006022,False,0.0,0.0,0.0,0.0,0.0,6,1,5,4,8,2
22,4.983381156998803,False,0.0,0.0,0.0,0.0,0.0,6,5,9,10,8,3
23,0.28627115600102115,False,0.0,0.0,0.0,5567.55,0.0,6,3,5,6,8,6
24,1.778422984003555,False,0.0,0.0,0.0,0.0,0.0,6,1,5,2,8,0
25,1.337362721998943,False,0.0,0.0,0.0,0.0,0.0,6,1,5,1,4,6
26,2.7898424299928593,False,0.0,0.0,0.0,-3914.45,0.0,6,7,10,1,8,3
27,1.3832808959996328,False,0.0,0.0,0.0,-2613.48,0.0,6,7,10,1,8,3
28,0.19511332899855915,False,0.0,0.0,0.0,-3914.45,0.0,6,5,8,1,8,3
29,2.2141463379957713,False,0.0,0.0,0.0,-2613.48,0.0,6,7,10,1,8,3
30,1.7802339489862788,False,0.0,0.0,-5.5332532e-11,0.0,-1.2585665e-24,6,8,10,7,8,6
31,1.6192129520059098,False,0.0,0.0,0.0,0.0,0.0,6,8,10,10,8,3
32,1.5737221780000255,False,0.0,0.0,0.0,0.0,0.0,6,8,10,10,8,2
33,0.27857756399316713,False,0.0,0.0,0.0,0.0,0.0,6,5,6,6,6,6
34,0.8565605100011453,False,0.0,0.0,0.0,0.0,0.0,5,1,3,1,8,6
35,2.812034061003942,False,0.0,0.0,0.0,0.0,0.0,5,7,5,2,8,7
