time,profit,losses,emissions,battery charging
35,[64.66876612158673, 8.089967865313236, 463.9494678724846, 8.249999791285644]
36,[65.97444876546693, 7.808745110382708, 266.45122429243526, 8.24999815447525]
37,[67.5583204502906, 7.870233950721486, 73.69673921670284, 8.249999999272672]
38,[65.59947604672705, 9.117978727007166, -20.191989599461895, 116.14707405268283]
39,[57.39782372236125, 10.447183812558691, 59.40278064169979, 383.201901194282]
40,[55.29612911489592, 12.929890348211961, 95.23176228577007, 560.5164259035835]
41,[62.46126736727336, 14.193057300140987, -356.747712799855, 359.7897912629433]
42,[61.04083482926648, 14.853862231728723, -431.48627949417613, 455.9638179667278]
43,[55.82456801705444, 16.698309001727303, -329.34887237814087, 701.2500019063826]
44,[58.91540132402309, 19.17042089641864, -649.7439604167292, 600.7255854904861]
45,[56.44324439311821, 22.228701453131684, -761.0650709309017, 672.87015409199]
46,[58.89674651373954, 25.373193343947136, -1035.5682648436077, 590.9578984003003]
47,[66.72241884454117, 34.44032788828967, -1495.204827898243, 338.66862610496753]
48,[63.872145018696656, 35.016532209756754, -1553.6524154181295, 430.6077193669512]
49,[60.840951196082514, 38.31364177939195, -1648.0939219254644, 496.4412649199199]
50,[67.60395896334371, 52.60174742196429, -2131.6527098613064, 203.25495374442391]
51,[63.82711360898558, 57.07132383264212, -2201.213161639527, 272.1684011908567]
52,[74.4460688444583, 71.84285957000556, -2793.132447416148, -138.72499661347106]
53,[71.74673130849249, 72.258117727885, -2823.2630991431665, -64.77481071490358]
54,[63.899144407285505, 68.79313949678247, -2575.1412587060213, 216.05767973457026]
55,[71.67816163436453, 81.67729652002299, -3007.9632855478876, -88.46047317698381]
56,[78.93441067888669, 94.98211586776318, -3267.7900503887963, -304.80047957137435]
57,[80.42092124501609, 93.67693542746176, -3277.205964709027, -295.1598539029095]
58,[75.03054786294754, 83.40368644832087, -3075.8990897348476, -92.8060921368764]
59,[74.09825881663785, 81.00684137675475, -2974.179250611805, -17.34423395415534]
60,[71.02498362760761, 75.84789022684372, -2651.9689372172393, 194.72880128320628]
61,[76.31401870491428, 71.29574808353759, -2716.139904301538, 96.30735293019265]
62,[76.5305039682548, 64.17973078288578, -2475.551696488977, 217.65534612580277]
63,[86.74772693451277, 76.29816763508238, -2815.4129116727945, -132.40364076108742]
64,[85.3365516798838, 66.28380117430561, -2573.956062070453, -4.799455072610865]
65,[83.6634287777619, 56.60913007475734, -2272.4873822176064, 152.8744292381284]
66,[88.83069620765929, 57.02770638909179, -2313.245157016887, 10.117967359122801]
67,[87.59316261828434, 48.40471067408976, -1977.9642269809594, 156.98709658550177]
68,[80.97949002954296, 39.146494069661884, -1506.499110068825, 425.61369870070604]
69,[86.3134358559497, 38.07092270177212, -1533.4048687081256, 276.6689551583316]
70,[88.18556233427627, 34.56718859554583, -1387.6165098611423, 253.1037849003075]
71,[89.21220529316726, 28.996487343036126, -1147.474105711919, 292.015236225163]
72,[91.01975945884874, 25.97869962106926, -997.8662567979104, 263.7746742594602]
73,[92.90942920363108, 22.642560093000437, -886.4240583052313, 205.14976283289417]
74,[96.55309936422537, 20.38472806371721, -770.7887450649607, 115.45761208958223]
75,[98.01268545451595, 17.128326381574002, -554.7473923876876, 104.75000197728944]
76,[99.56166626417506, 14.510867146183926, -311.9074842638275, 104.888668227933]
77,[97.38850649407709, 12.996685909816067, 88.37461720373881, 230.999999848158]
78,[108.41996433993673, 11.78520080894149, -18.73077383910474, -81.10972081062177]
79,[114.45243929503876, 12.278074426525158, -153.42243431739413, -367.0822289800137]
80,[105.14875004530467, 8.584687873540181, 141.56249891265279, -241.27812121979986]
81,[113.46625404842213, 8.31905304788185, 80.43229268846513, -485.5377014015612]
82,[119.56108868976825, 9.998243023337894, -76.69871127791961, -791.1723419025028]
83,[120.60010406805621, 9.385959681685087, 128.91669530488718, -809.1317986078138]
84,[130.93927296243223, 10.938647907400087, 812.140311522658, -711.1769990807459]
85,[128.24559540805092, 10.774263283090164, 773.741744670283, -711.1769991344698]
86,[132.10358189946396, 10.938975625103073, 851.7169040563701, -698.7499989747116]
87,[130.7193926326496, 10.980275309604949, 831.1487515302392, -698.7499992777429]
88,[132.94184200223904, 11.556862267802384, 1001.3164941293711, -614.9918545108508]
89,[116.71515188738317, 13.340571863891983, 1382.2453083010698, -233.4850000775597]
90,[114.36057280571575, 18.077199952606172, 1729.6449284496746, -2.829500164655539]
91,[109.5735753593449, 17.472957585927524, 1675.302981735757, 8.249999996761066]
92,[110.46318740250518, 17.57256713011105, 1688.7270309716457, 8.24999999480887]
93,[112.22129423935505, 18.09283972113067, 1715.7820053299565, 8.249999999191793]
94,[110.87903090858582, 17.755980363675466, 1695.2197156353693, 8.24999820930009]
95,[112.39270507869915, 18.12762878611045, 1718.3938998194933, 8.249999999230743]
96,[114.01360986000475, 18.09103234473897, 1740.8736628885076, 7.249999979810221]
