time,solver,failed,BatteryUnit.battery1,BatteryUnit.battery2,BatteryUnit.battery3,BatteryUnit.battery4,BatteryUnit.battery5,RatioTapChanger.reg1a,RatioTapChanger.reg2a,RatioTapChanger.reg3a,RatioTapChanger.reg3c,RatioTapChanger.reg4a,RatioTapChanger.reg4c
61,1.241275931999553,False,17314.513,0.0,-45911.361,1.22839e-05,122904.11,3,2,7,5,5,2
62,1.776878812990617,False,3.6109864e-11,0.0,-0.00010813305,0.0,214155.23,3,3,7,7,6,3
63,1.1976137189922156,False,-13895.508,-15943.432,22435.23,3.100725e-06,-125000.0,3,8,4,7,4,3
64,2.021732814988354,False,-1.5033751e-25,22676.482,-15773.812,-1.9481234e-11,-11702.162,3,5,7,5,5,-3
65,1.3209837670001434,False,-7.2219729e-11,45352.973,-14804.105,-10121.642,132447.21,3,7,7,5,6,-5
66,0.575395436011604,False,2.1297814e-25,22676.482,4.408918e-27,-89348.211,76789.673,3,3,7,5,5,-5
67,0.5584920630062697,True,2.1297814e-25,3.806800775e-05,25480.395,54717.023,76789.673,4,3,7,7,5,-7
68,1.2340315860055853,False,0.0,0.0,100000.0,72363.7,250000.0,4,4,7,5,4,-4
69,0.8091460760042537,False,0.0,0.0,23418.943,0.011034168,250000.0,4,6,1,5,5,-4
70,0.5656667919975007,False,31250.00000000003,0.0,-6177.4929,0.00367823,226031.25,4,4,1,7,6,-4
71,3.3826135900017107,False,5.4164796e-11,0.0,100000.0,0.0,188515.22499999998,4,2,-1,6,4,2
72,0.7078743129968643,False,-1057.6958,1.9375757e-11,100000.0,-3.8962467e-11,164832.37,4,1,4,4,6,-3
73,3.208996154004126,False,3.6109864e-11,0.0,45920.325,-629.32625,157858.76750000002,5,-1,3,6,3,-3
74,0.519232627004385,False,0.0,0.0,100000.0,0.0,10707.608,5,1,1,2,2,-2
75,0.86985321600514,False,0.0,0.0,100000.0,0.0,0.00026010769,6,2,1,-3,1,0
76,4.820843567998963,False,0.0,0.0,99138.67,9.6878785e-12,0.0,6,8,7,3,6,5
77,0.4737149710126687,False,125000.0,0.0,100000.0,0.0,0.0,6,2,1,-2,5,5
78,1.3413989109976683,False,0.0,-1.392422025e-11,65140.274,-150000.0,0.0,6,2,2,2,6,4
79,3.2323036340094404,False,-109132.31,-200000.0,-18097.3,-39852.6,-1.9715059e-11,4,5,8,6,9,5
80,0.7429641950002406,False,0.0,0.0,-39219.7,-17805.2,-187500.0,4,1,7,7,8,1
81,0.2006914079975104,False,-109132.0,-112182.0,-100000.0,-106957.0,-57266.7,7,-1,3,3,5,-1
82,0.5793273040035274,False,-97955.354,-193217.0,-100000.0,-150000.0,-250000.0,7,-1,-1,2,4,-5
83,2.0016391050012317,False,-109132.0,-200000.0,-100000.0,-150000.0,-250000.0,6,5,1,2,6,0
84,1.9540925310138846,False,-11177.0,-200000.0,-100000.0,-150000.0,-250000.0,6,9,7,8,7,6
85,0.14020896499278024,False,-11177.0,-200000.0,-100000.0,-150000.0,-250000.0,6,7,5,8,6,7
86,1.0308387149998453,False,0.0,-200000.0,-100000.0,-150000.0,-250000.0,7,3,2,4,6,1
87,1.174938807002036,False,0.0,-200000.0,-100000.0,-150000.0,-250000.0,6,3,2,4,7,4
88,1.3045373119966825,False,0.0,-200000.0,-100000.0,-66242.2,-250000.0,6,4,2,6,7,5
89,1.7928986430051737,False,0.0,-22246.0,-100000.0,0.0,-113989.0,7,3,8,4,8,-1
90,3.8557706830033567,False,0.0,0.0,-10079.5,0.0,0.0,7,9,11,0,9,0
91,0.5005448809970403,False,0.0,0.0,0.0,0.0,0.0,7,6,6,4,8,1
92,1.9088394590071402,False,0.0,0.0,0.0,0.0,0.0,7,9,6,2,8,1
93,0.6584058870066656,False,0.0,0.0,0.0,0.0,0.0,6,3,5,4,9,3
94,5.163643488005619,False,0.0,0.0,0.0,0.0,0.0,6,3,7,7,9,2
95,0.3442949859891087,False,0.0,0.0,0.0,0.0,0.0,6,5,9,8,9,3
96,0.5249954199971398,False,0.0,0.0,-5.5332532e-11,0.0,0.0,7,-1,5,3,5,1
