ACLineSegment s1 l114 135 35 B _9140DC77-7967-4AC1-A18D-EB19B6DFBFB0 _7FA86D6E-227D-4A88-89AC-3A09E129BAB2 _09659E2A-F462-4EA8-9FF3-67A5EBE56E0F
ACLineSegment s1 l114 135 35 C _9140DC77-7967-4AC1-A18D-EB19B6DFBFB0 _7FA86D6E-227D-4A88-89AC-3A09E129BAB2 _09659E2A-F462-4EA8-9FF3-67A5EBE56E0F
ACLineSegment s1 l115 149 1 A _CC3F3D2F-BAFC-4028-B598-62B5F631B0B1 _61253781-099D-4F2B-8A07-2C3C20D5AA56 _44D5D54F-F860-4792-A482-44FE0742E658
ACLineSegment s1 l115 149 1 B _CC3F3D2F-BAFC-4028-B598-62B5F631B0B1 _61253781-099D-4F2B-8A07-2C3C20D5AA56 _44D5D54F-F860-4792-A482-44FE0742E658
ACLineSegment s1 l115 149 1 C _CC3F3D2F-BAFC-4028-B598-62B5F631B0B1 _61253781-099D-4F2B-8A07-2C3C20D5AA56 _44D5D54F-F860-4792-A482-44FE0742E658
ACLineSegment s1 l116 152 52 A _9E875341-7899-43A9-B365-61C7B3A11614 _EE15266E-6882-4124-A608-39EB4C7480EB _FE5062E1-1FE6-49D6-9267-366C0DF5AC71
ACLineSegment s1 l116 152 52 B _9E875341-7899-43A9-B365-61C7B3A11614 _EE15266E-6882-4124-A608-39EB4C7480EB _FE5062E1-1FE6-49D6-9267-366C0DF5AC71
ACLineSegment s1 l116 152 52 C _9E875341-7899-43A9-B365-61C7B3A11614 _EE15266E-6882-4124-A608-39EB4C7480EB _FE5062E1-1FE6-49D6-9267-366C0DF5AC71
ACLineSegment s1 l117 160r 67 A _9073EFB6-4F9E-4768-AF98-B8B5A30C22E9 _4F778C1A-50A4-46AE-A106-A77DA4B96506 _19EA7376-6467-4458-B3F1-732FB688F80A
ACLineSegment s1 l117 160r 67 B _9073EFB6-4F9E-4768-AF98-B8B5A30C22E9 _4F778C1A-50A4-46AE-A106-A77DA4B96506 _19EA7376-6467-4458-B3F1-732FB688F80A
ACLineSegment s1 l117 160r 67 C _9073EFB6-4F9E-4768-AF98-B8B5A30C22E9 _4F778C1A-50A4-46AE-A106-A77DA4B96506 _19EA7376-6467-4458-B3F1-732FB688F80A
