time,price
0:00,235.79323
0:15,239.1418325
0:30,242.490435
0:45,245.8390375
1:00,249.18764
1:15,249.00577
1:30,248.8239
1:45,248.64203
2:00,248.46016
2:15,248.37149
2:30,248.28282
2:45,248.19415
3:00,248.10548
3:15,247.1860675
3:30,246.266655
3:45,245.3472425
4:00,244.42783
4:15,245.990185
4:30,247.55254
4:45,249.114895
5:00,250.67725
5:15,256.306475
5:30,261.9357
5:45,267.564925
6:00,273.19415
6:15,298.20155
6:30,323.20895
6:45,348.21635
7:00,373.22375
7:15,369.638325
7:30,366.0529
7:45,362.467475
8:00,358.88205
8:15,339.1448625
8:30,319.407675
8:45,299.6704875
9:00,279.9333
9:15,275.1326375
9:30,270.331975
9:45,265.5313125
10:00,260.73065
10:15,257.9337225
10:30,255.136795
10:45,252.3398675
11:00,249.54294
11:15,246.2592875
11:30,242.975635
11:45,239.6919825
12:00,236.40833
12:15,233.2749625
12:30,230.141595
12:45,227.0082275
13:00,223.87486
13:15,222.7048675
13:30,221.534875
13:45,220.3648825
14:00,219.19489
14:15,221.1838525
14:30,223.172815
14:45,225.1617775
15:00,227.15074
15:15,238.08348
15:30,249.01622
15:45,259.94896
16:00,270.8817
16:15,291.321375
16:30,311.76105
16:45,332.200725
17:00,352.6404
17:15,362.8869625
17:30,373.133525
17:45,383.3800875
18:00,393.62665
18:15,387.39898
18:30,381.17131
18:45,374.94364
19:00,368.71597
19:15,365.83557
19:30,362.95517
19:45,360.07477
20:00,357.19437
20:15,356.9900525
20:30,356.785735
20:45,356.5814175
21:00,356.3771
21:15,353.8442575
21:30,351.311415
21:45,348.7785725
22:00,346.24573
22:15,335.1047075
22:30,323.963685
22:45,312.8226625
23:00,301.68164
23:15,296.45373
23:30,291.22582
23:45,285.99791
